UKPRN,PROVIDER_NAME,ALIAS,FLAT_NAME_NUMBER,BUILDING_NAME_NUMBER,STREET_NAME,LOCALITY,TOWN,POSTCODE,PRIMARY_CONTACT_POSTCODE,WEBSITE_ADDRESS
10007141,UNIVERSITY OF CENTRAL LANCASHIRE,,,,,,Preston,PR1 2HE,PR1 2HE,www.uclan.ac.uk
10007848,UNIVERSITY OF CHESTER,,,,Parkgate Road,,Chester,CH1 4BJ,CH1 4BJ,www.chester.ac.uk
10007851,UNIVERSITY OF DERBY,,,,Kedleston Road,,Derby,DE22 1GB,DE22 1GB,www.derby.ac.uk
10007852,UNIVERSITY OF DUNDEE,,,,Perth Road,,Dundee,DD1 4HN,DD1 4HN,www.dundee.ac.uk
10007143,UNIVERSITY OF DURHAM,Durham University,,PALATINE CENTRE,STOCKTON ROAD,,DURHAM,DH1 3LE,DH1 3LE,www.dur.ac.uk
10007789,UNIVERSITY OF EAST ANGLIA,,,,Earlham Road,,Norwich,NR4 7TJ,NR4 7TJ,www.uea.ac.uk
10007144,UNIVERSITY OF EAST LONDON,,,EAST BUILDING 4,UNIVERSITY WAY,,LONDON,E16 2RD,E16 2RD,www.uel.ac.uk
10007790,UNIVERSITY OF EDINBURGH,,,Old College,South Bridge,,Edinburgh,EH8 9YL,EH8 9YL,www.ed.ac.uk
10007791,UNIVERSITY OF ESSEX,,,,Wivenhoe Park,,Colchester,CO4 3SQ,CO4 3SQ,www.essex.ac.uk
10007792,UNIVERSITY OF EXETER,,,Northcote House,The Queens Drive,,Exeter,EX4 4QJ,EX4 4QJ,www.exeter.ac.uk
10007793,UNIVERSITY OF GLAMORGAN / PRIFYSGOL MORGANNWG,,,,,Treforest,Pontypridd,CF37 1DL,CF37 1DL,www.glam.ac.uk
10007794,UNIVERSITY OF GLASGOW,,,,University Avenue,,Glasgow,G12 8QQ,G12 8QQ,www.gla.ac.uk
10007145,UNIVERSITY OF GLOUCESTERSHIRE,,,,The Park,,Cheltenham,GL50 2RH,GL50 2RH,www.glos.ac.uk
10007146,UNIVERSITY OF GREENWICH,,,30,Park Row,,London,SE10 9LS,SE10 9LS,www.greenwich.ac.uk
10007147,UNIVERSITY OF HERTFORDSHIRE,,,,College Lane,,Hatfield,AL10 9AB,AL10 9AB,www.herts.ac.uk
10007148,UNIVERSITY OF HUDDERSFIELD,,,,Queensgate,,Huddersfield,HD1 3DH,HD1 3DH,www.hud.ac.uk
10007149,UNIVERSITY OF HULL,,,,Cottingham Road,,Hull,HU6 7RX,HU6 7RX,www.hull.ac.uk
10007767,UNIVERSITY OF KEELE,Keele University,,,,Keele,Newcastle,ST5 5BG,ST5 5BG,www.keele.ac.uk
10007150,UNIVERSITY OF KENT,,,The Registry,,,Canterbury,CT2 7NZ,CT2 7NZ,www.kent.ac.uk
10007768,UNIVERSITY OF LANCASTER,Lancaster University,,University House,,Bailrigg,Lancaster,LA1 4YW,LA1 4YW,www.lancs.ac.uk
